client_id,first_name,last_name,age,job_id,marital_id,education_id,has_credit_default,balance_eur,has_housing_loan,has_personal_loan
1,Mafalda,Marques Pereira,58,5,2,3,false,2143,true,false
2,Eva,Pires Neves,44,10,3,2,false,29,true,false
3,Rodrigo,Ribeiro Aguiar,33,3,2,2,false,2,true,true
4,Duarte,Sampaio Aguiar,47,2,2,4,false,1506,true,false
5,Dulce,Gonçalves Miranda,33,12,3,4,false,1,false,false
6,Cristina,Oliveira Pereira,35,5,2,3,false,231,true,false
7,Diogo,Monteiro Rocha,28,5,3,3,false,447,true,true
8,Alexandra,Mota Pereira,42,3,1,3,true,2,true,false
9,Fátima,Soares Ventura,58,6,2,1,false,121,true,false
10,Natália,Valente Lima,43,10,3,2,false,593,true,false
11,Cláudia,Cardoso Cordeiro,41,1,1,2,false,270,true,false
12,Iolanda,Pires Silva,29,1,3,2,false,390,true,false
13,Fábio,Valente Cabral,53,10,2,2,false,6,true,false
14,Rúben,Pires Carvalho,58,10,2,4,false,71,true,false
15,Raul,Bastos Araújo,57,8,2,2,false,162,true,false
16,Duarte,Gonçalves Amaral,51,6,2,1,false,229,true,false
17,Rafael,Tavares Barbosa,45,1,3,4,false,13,true,false
18,Júlia,Cruz Costa,57,2,2,1,false,52,true,false
19,Benedita,Domingues Leite,60,6,2,1,false,60,true,false
20,Joaquim,Amaral Fernandes,33,8,2,2,false,0,true,false
21,Emília,Reis Pacheco,28,2,2,2,false,723,true,true
22,Lídia,Castro Maia,56,5,2,3,false,779,true,false
23,Mário,Vaz Jesus,32,2,3,1,false,23,true,true
24,Bruno,Resende Rocha,25,8,2,2,false,50,true,false
25,Gaspar,Fernandes Rocha,40,6,2,1,false,0,true,true
26,Gonçalo,Amaral Pires,44,1,2,2,false,-372,true,false
27,Madalena,Pinheiro Castro,39,5,3,3,false,255,true,false
28,Gabriel,Campos Tavares,52,3,2,2,false,113,true,true
29,Octávio,Salgado Cunha,46,5,3,2,false,-246,true,false
